ids,lon,lat,kind,location,name,ateco,size,age
2956322,16.91067579,40.78289825,U,Bari,SALOTTI DISCOUNT GRUPPO INDUSTRIALE DELTA SALOTTI S.R.L. IN SIGLA G.I.D.S. S.R.L.,31,media,10y-20y
50146,17.12563,40.84948,U,Bari, HOYA LENS ITALIA S.P.A.,32,media,over20y
320819,16.48527464,41.20159581,S,Bari, DI CORATO GIUSEPPE,14,media,over20y
474089,16.88364433,41.11624822,U,Bari, PROJECT AUTOMATION S.P.A.,26,media,10y-20y
86211,16.55328952,41.20786474,U,Bari, GOLDEN LADY COMPANY SOCIETA PER AZIONI,14,grande,over20y
86211,16.57364015,41.18828827,U,Bari, GOLDEN LADY COMPANY SOCIETA PER AZIONI,14,grande,over20y
160838,16.50694,41.11304,S,Bari, ITEL TELECOMUNICAZIONI S.R.L.,26,media,over20y
259441,17.00879544,41.00904669,S,Bari, ENOAGRICOLA S.R.L.,11,media,over20y
102796,16.79489,41.11033,U,Bari, SKF INDUSTRIE S.P.A.,28,grande,over20y
398105,16.86930453,41.12557028,U,Bari, COCCINELLE S.P.A.,15,media,over20y
623207,16.59842484,41.20530974,U,Bari, ORION S.R.L.,26,media,over20y
436269,16.51903218,40.82396074,U,Bari, COMODO ITALIA S.R.L.,31,media,over20y
500908,16.87016991,41.12549456,U,Bari, IL PONTE PELLETTERIA S.P.A.,15,media,over20y
3146712,17.275563,40.96482771,U,Bari, AQUA S.P.A.,22,media,10y-20y
529377,16.58121959,41.20706003,U,Bari, UNICALCESTRUZZI S.P.A. SIGLABILE UNICAL S.P.A.,23,grande,over20y
111784,16.57364015,41.18828827,U,Bari, KOPRON S.P.A.,25,media,over20y
287793,16.91067579,40.78289825,U,Bari, COLORIFICIO PAULIN S.P.A.,20,media,over20y
361678856,16.86967419,41.12190061,U,Bari, TWIN SET - SIMONA BARBIERI S.P.A.,14,grande,2y-5y
9096219,16.55935,41.21923,U,Bari, MIROGLIO FASHION S.R.L.,14,grande,5y-10y
362467274,16.84312705,40.80445649,S,Bari, SIPAM S.R.L.,22,media,1y-2y
43543,16.77567795,41.07912707,U,Bari, TUBI S.P.A.,24,media,over20y
578262,16.9281,40.8194,U,Bari, GRANAROLO S.P.A. IN SIGLAG. SPA,10,grande,over20y
432533,16.75147,40.78457,S,Bari, NATCO S.P.A.,15,media,over20y
3741087,16.870445,41.122713,U,Bari, LOMBARDINI S.P.A.,14,media,10y-20y
82321,17.14427,41.03246,U,Bari, TOTALERG S.P.A.,19,grande,over20y
864338,17.32762,40.75802,S,Bari, MARIO VALENTE - FIRENZE S.R.L.,14,media,over20y
420279,16.78269544,41.110139,U,Bari, BROVEDANI S.P.A.,25,grande,over20y
351534089,16.91193674,41.10785491,S,Bari, FILOTEX S.R.L (IN LIQUIDAZIONE),14,media,10y-20y
86211,16.9394291,41.07205039,U,Bari, GOLDEN LADY COMPANY SOCIETA PER AZIONI,14,grande,over20y
1950,16.50047838,41.22401862,S,Bari, PORLIN STYLE S.P.A.,14,media,over20y
41867,16.87204249,41.12153518,U,Bari, VINCENZO ZUCCHI - SOCIETA PER AZIONI,13,grande,over20y
74196,16.83726928,41.12837339,U,Bari, PEDROLLO S.P.A.,28,grande,over20y
223214,17.0999635,40.94595435,U,Bari, ASA ITALIA S.P.A.,25,media,over20y
9096219,16.92698535,40.95223664,U,Bari, MIROGLIO FASHION S.R.L.,14,grande,5y-10y
142542,16.48527464,41.20159581,S,Bari, MARPEM - INDUSTRIA CONFEZIONI BIANCHERIA S.R.L.,14,media,over20y
950265,16.5210655,40.73753305,U,Bari, SOFT LINE S.P.A.,31,media,over20y
12942949,16.8606654,41.09127898,S,Bari, LA NUOVA MERIDIONALE GRIGLIATI S.R.L.,25,media,2y-5y
3588310,16.91067579,40.78289825,S,Bari, CAPURSO AZIENDA CASEARIA S.R.L.,10,media,10y-20y
253724,16.97101,41.00319,S,Bari, F. DIVELLA S.P.A.,10,grande,over20y
6420572,16.92376589,40.96037677,U,Bari,LO' BY LOVABLE DBAPPAREL ITALIA S.R.L.,14,grande,5y-10y
488889,16.9280637,41.09767032,U,Bari, THUN S.P.A.,23,media,over20y
418589,17.14136046,40.78602481,S,Bari, SERECO S.R.L.,28,media,over20y
2200187,17.12415546,40.85062473,U,Bari, DAMBRUOSO FRANCESCO S.R.L.,10,media,10y-20y
108619,16.91873,41.03258,U,Bari, ARTSANA - SOCIETA PER AZIONI,32,grande,over20y
2200187,17.12271,40.84717,U,Bari,CASEIFICIO ARTIGIANA DAMBRUOSO FRANCESCO S.R.L.,10,media,10y-20y
316193,16.9394291,41.07205039,U,Bari, CALCESTRUZZI S.P.A.,23,grande,over20y
104173,16.42276502,41.27306726,U,Bari, TEDDY - S.P.A.,14,grande,over20y
82321,16.78695385,41.08619933,U,Bari, TOTALERG S.P.A.,19,grande,over20y
361995854,16.54969,41.21291,U,Bari, CONTE OF FLORENCE DISTRIBUTION SOCIETA PER AZIONI ABBREVIABILE IN: CONTE OF FLORENCE DISTRIBUTION S.P.A.,14,media,2y-5y
41867,16.54969,41.21291,U,Bari, VINCENZO ZUCCHI - SOCIETA PER AZIONI,13,grande,over20y
1338693,17.10519814,40.8405621,U,Bari, CENTRO ITALIANO PRODUZIONE ABBIGLIAMENTO E SERVIZI - S.R.L.  IN SIGLA C.I.P.A.S. S.R.L.,14,media,over20y
604735,16.77931351,41.08605939,U,Bari, LINCOLN ELECTRIC ITALIA SOCIETA A RESPONSABILITA LIMITATA SIGLABILE LINCOLN ELECTRIC ITALIA S.R.L.,25,media,over20y
9771195,17.24378178,40.77787838,U,Bari, M.K.M. S.R.L.,14,media,10y-20y
82321,17.26131,40.97115,U,Bari, TOTALERG S.P.A.,19,grande,over20y
3070381,16.44697687,40.82358039,S,Bari, GIANNELLI IMPIANTI SOCIETA A RESPONSABILITA LIMITATA,27,media,10y-20y
770914,16.87485329,41.12166863,S,Bari, SAIDA SPA,25,media,over20y
86211,16.869282,41.126032,U,Bari, GOLDEN LADY COMPANY SOCIETA PER AZIONI,14,grande,over20y
949768,16.5210655,40.73753305,U,Bari, OROPAN S.P.A.,10,media,over20y
3220528,17.10170015,40.76418502,S,Bari, DELIZIA S.P.A.,10,media,10y-20y
85794,16.69712,41.05569,U,Bari, SICILIANI S.P.A. - INDUSTRIA LAVORAZIONE CARNE,10,media,over20y
551992,16.84118701,41.121049,U,Bari, LIQUIGAS S.P.A.,19,grande,over20y
265762,16.54969,41.21291,U,Bari, FORNARI S.P.A.,14,media,over20y
532119,17.0887728,40.81352543,S,Bari, SACHIM - S.R.L. (SOCIETA PER LE APPLICAZIONI CHIMICHE TESSILI),13,media,over20y
586062,16.50110593,41.23176813,U,Bari, LANVINS S.R.L.,14,media,over20y
951761,17.10809,40.83185,S,Bari, CASEIFICIO PALAZZO S.P.A.,10,media,over20y
252645,16.91067579,40.78289825,U,Bari, CASEIFICIO FRATELLI CAPURSO S.P.A.,10,media,over20y
494551,16.91365,40.99493,U,Bari, VAREM S.P.A.,28,media,over20y
3772413,16.92594285,41.04068812,U,Bari, PARMALAT S.P.A.,10,grande,10y-20y
817519,16.80892248,41.09963299,U,Bari, GENERAL ELECTRIC INTERNATIONAL  INC.,27,grande,over20y
94885,16.40952189,41.14674617,U,Bari, I.C.O. INDUSTRIA CARTONE ONDULATO S.R.L.,17,grande,over20y
199260,17.0887728,40.81352543,S,Bari, FRATELLI TOTARO MAGLIFICIO MAFRAT S.P.A IN SIGLA MAFRAT S.P.A .,14,media,over20y
50645,16.85331217,41.09911881,U,Bari, ERICSSON TELECOMUNICAZIONI - SOCIETA PER AZIONI,26,grande,over20y
197414,16.92179167,41.04799281,U,Bari, ROVAGNATI SPA,10,grande,over20y
44883,16.87499235,41.09181205,S,Bari, ITAL LEGNO SRL,16,media,over20y
586062,16.49591293,41.23083773,S,Bari, LANVINS S.R.L.,14,media,over20y
6420572,16.9394291,41.07205039,U,Bari, DBAPPAREL ITALIA S.R.L.,14,grande,5y-10y
950265,16.78695385,41.08619933,U,Bari, SOFT LINE S.P.A.,31,media,over20y
130648,16.79941,41.11156,U,Bari, SAPIO PRODUZIONE IDROGENO OSSIGENO SRL,20,grande,over20y
364762673,16.79305,41.10248,U,Bari, RIVOIRA OPERATIONS S.R.L.,20,media,1y-2y
2709461,16.92557,40.79628,U,Bari, SOFINTER SPA,25,media,over20y
237273,16.78695385,41.08619933,U,Bari, BRUNO S.R.L.,27,media,over20y
1338693,17.11915,40.8559,S,Bari, CENTRO ITALIANO PRODUZIONE ABBIGLIAMENTO E SERVIZI - S.R.L.  IN SIGLA C.I.P.A.S. S.R.L.,14,media,over20y
316193,16.6476,41.11243,U,Bari, CALCESTRUZZI S.P.A.,23,grande,over20y
1089844,16.878315,41.111812,U,Bari, D.A.I. OPTICAL INDUSTRIES S.R.L.,32,media,10y-20y
3279959,16.44696,40.82673,U,Bari, FORM DESIGN SOCIETA A RESPONSABILITA LIMITATA,31,media,10y-20y
321664,16.87351,41.09268,U,Bari, GPS STANDARD S.P.A.,26,media,over20y
587262,16.78670823,41.09915733,S,Bari, BARITOOLS S.R.L.,25,media,over20y
10412795,16.558218,40.834367,S,Bari, SPECIAL DESIGN S.R.L.,31,media,5y-10y
1288084,16.77089202,41.09840812,U,Bari, ALSTOM FERROVIARIA S.P.A.,30,grande,10y-20y
830927,16.75475,41.10452,U,Bari, IMAC S.P.A.,15,grande,over20y
87175,16.5210655,40.73753305,S,Bari, FIAL S.R.L.,16,media,over20y
630408,16.82555154,41.09270958,U,Bari, BOTTEGA VERDE - S.R.L.,20,grande,over20y
1983957,16.87032608,41.12385138,U,Bari, BRUNELLO CUCINELLI S.P.A.,14,grande,over20y
939774,16.75433,41.09273,U,Bari, SCHNEIDER ELECTRIC S.P.A.,27,grande,over20y
9096219,16.55328952,41.20786474,U,Bari, MIROGLIO FASHION S.R.L.,14,grande,5y-10y
12942949,16.9340121,41.06443086,U,Bari, LA NUOVA MERIDIONALE GRIGLIATI S.R.L.,25,media,2y-5y
657887,16.79322765,41.13011157,U,Bari, CHEMETALL ITALIA S.R.L.,20,media,over20y
352167346,16.96817,41.03788,S,Bari, ALUTEKNE S.R.L.,25,media,over20y
3662727,16.87008542,41.12268953,U,Bari, MIDALI S.R.L.,14,media,10y-20y
305683,16.80924565,41.11522784,U,Bari, SAINT-GOBAIN GLASS ITALIA S.P.A.,23,grande,over20y
199260,17.10809,40.83185,U,Bari,BEBEBO' - GRUPPO MAFRAT S.P.A. FRATELLI TOTARO MAGLIFICIO MAFRAT S.P.A IN SIGLA MAFRAT S.P.A .,14,media,over20y
210964,16.88493615,41.03853208,U,Bari, FIDIA - S.P.A.,28,media,over20y
531555,16.56056,41.20382,U,Bari, MORANDO S.P.A.,10,media,over20y
12260113,16.80892248,41.09963299,U,Bari, NUOVO PIGNONE S.R.L.,28,grande,2y-5y
448448,16.5210655,40.73753305,U,Bari, F.LLI DE CECCO DI FILIPPO - FARA SAN MARTINO - S.P.A.,10,grande,over20y
85794,16.65261875,41.04101075,S,Bari, SICILIANI S.P.A. - INDUSTRIA LAVORAZIONE CARNE,10,media,over20y
366170468,16.56723,40.82545,S,Bari, EURO SOFA S.R.L.,31,media,0y-1y
140982,16.86944514,41.12399156,U,Bari, T.R.S. EVOLUTION S.P.A.,14,grande,over20y
316193,17.27594,40.94373,U,Bari, CALCESTRUZZI S.P.A.,23,grande,over20y
3662727,16.87773964,41.12067252,U,Bari, MIDALI S.R.L.,14,media,10y-20y
177624,16.61456949,41.08879445,U,Bari, FASSA S.R.L.,23,grande,over20y
351458726,17.128,40.8494,S,Bari, DEMA-S.P.A.,13,media,over20y
20440,16.77562342,41.10637109,U,Bari, OSRAM S.P.A. - SOCIETA RIUNITE OSRAM EDISON CLERICI - IN FORMA ABBREVIATA OSRAM S.P.A,27,grande,over20y
12117,16.92594285,41.04068812,S,Bari, FRIGERIO TENDE DA SOLE S.R.L.,25,media,10y-20y
630584,16.54969,41.21291,U,Bari,HARMONT & BLAINE HARMONT & BLAINE S.P.A.,14,grande,over20y
2507758,16.78695385,41.08619933,U,Bari, MAGNETI MARELLI S.P.A.,29,grande,10y-20y
7588432,16.78695385,41.08619933,U,Bari, ITALCEMENTI FABBRICHE RIUNITE CEMENTO S.P.A. BERGAMO,23,grande,over20y
2981258,16.54969,41.21291,U,Bari, BORBONESE S.P.A.,15,media,over20y
96891,16.84312705,40.80445649,S,Bari, IFAC S.P.A.,29,media,over20y
12942949,16.92082,40.80133,U,Bari, LA NUOVA MERIDIONALE GRIGLIATI S.R.L.,25,media,2y-5y
5573328,16.78967,41.0896,U,Bari, I.M.P.E. INDUSTRIA MERIDIONALE PREFABBRICATI EDILI S.P.A.,23,media,over20y
12167,16.85400365,41.09649279,U,Bari, AKZO NOBEL COATINGS SPA,20,grande,over20y
715384,16.87280576,41.1194334,U,Bari, STRATEX S.P.A.,16,media,over20y
531555,16.57364015,41.18828827,U,Bari, MORANDO S.P.A.,10,media,over20y
351885407,16.83515691,41.12226234,S,Bari, MIDI - S.P.A.,14,media,over20y
1039422,16.92311375,41.04824505,S,Bari, SP.AL. S.R.L.,16,media,10y-20y
708980,16.791965,41.085566,U,Bari, BTICINO S.P.A.,27,grande,over20y
9096219,16.87499235,41.09181205,U,Bari, MIROGLIO FASHION S.R.L.,14,grande,5y-10y
236964,16.75892,41.10929,U,Bari, SCM GROUP S.P.A.,28,grande,over20y
5554535,16.88493615,41.03853208,U,Bari, THD S.P.A.,26,media,10y-20y
2970838,16.78695385,41.08619933,U,Bari, CARABELLI S.R.L.,32,media,10y-20y
1614071,16.53935212,40.82811886,S,Bari, DUE EFFE SALOTTI S.R.L.,31,media,over20y
236964,16.77476017,41.0969831,U,Bari, SCM GROUP S.P.A.,28,grande,over20y
96992,17.0037573,41.00921904,U,Bari, MAGLIFICIO SANTACATERINA S.P.A.,14,media,over20y
1279443,16.87194829,41.1261772,U,Bari, IMPERIAL S.P.A.,14,grande,over20y
112016,16.87499235,41.09181205,U,Bari, CHIMICA DEL DOTT. FRANCESCO DAGOSTINO-S.P.A.,20,media,over20y
147735,16.80653085,41.11932431,U,Bari, API ANONIMA PETROLI ITALIANA - SOCIETA PER AZIONI,19,grande,over20y
1166538,16.78695385,41.08619933,U,Bari, MIGNINI & PETRINI S.P.A.,10,media,over20y
554260,16.75147,40.78457,S,Bari, NATUZZI S.P.A.,31,grande,over20y
822840,16.5210655,40.73753305,S,Bari, FORTE S.R.L.,22,media,over20y
10705031,16.69471057,41.05843163,S,Bari, I.T.I. GROUP S.R.L.,10,media,2y-5y
10412795,16.5210655,40.73753305,U,Bari, SPECIAL DESIGN S.R.L.,31,media,5y-10y
3709859,16.84312705,40.80445649,U,Bari, FINLOGIC SOCIETA PER AZIONI,17,media,10y-20y
2147190,16.85846145,41.10769256,S,Bari, VIDEOGRAFICA S.R.L.,18,media,over20y
316193,16.84885,40.90429,U,Bari, CALCESTRUZZI S.P.A.,23,grande,over20y
147725,16.86535508,41.08780861,U,Bari, ESSO ITALIANA S.R.L.,19,grande,10y-20y
3095731,16.76182,40.89143,U,Bari, PROJECT - 2000 S.R.L.,31,media,10y-20y
6270029,16.77927472,41.08484161,S,Bari, NTL S.R.L.,31,media,5y-10y
994295,16.78695385,41.08619933,U,Bari, PETTENON COSMETICS S.P.A.,20,media,over20y
393996,16.67552,41.18393,U,Bari, AIR FIRE SOCIETA PER AZIONI,28,media,over20y
9660771,16.78695385,41.08619933,S,Bari, SAMI S.R.L.,25,media,5y-10y
316193,16.87499235,41.09181205,U,Bari, CALCESTRUZZI S.P.A.,23,grande,over20y
97645,16.77703194,40.94272685,U,Bari, BUTAN GAS S.P.A.,19,grande,over20y
253724,17.0084744,40.99305407,U,Bari, F. DIVELLA S.P.A.,10,grande,over20y
127075,16.75881,41.09138,U,Bari, PLASTIK S.P.A.,22,media,over20y
855527,16.87499235,41.09181205,S,Bari, ISOTTA FRASCHINI MOTORI S.P.A.,28,media,over20y
437136,16.80892248,41.09963299,U,Bari, O-I MANUFACTURING ITALY S.P.A.,23,grande,over20y
282199,16.56155,41.19635,U,Bari, SHERWIN-WILLIAMS ITALY S.R.L.,20,grande,over20y
1179256,16.95081421,41.10055423,U,Bari, ULTRAGAS C.M. - SOCIETA PER AZIONI,19,media,10y-20y
41867,16.9280637,41.09767032,U,Bari, VINCENZO ZUCCHI - SOCIETA PER AZIONI,13,grande,over20y
364764185,16.79305,41.10248,U,Bari, RIVOIRA GAS S.R.L.,20,media,1y-2y
554260,16.5210655,40.73753305,U,Bari, NATUZZI S.P.A.,31,grande,over20y
366170468,16.68978775,40.93523301,U,Bari, EURO SOFA S.R.L.,31,media,0y-1y
293815,16.66305325,41.16732673,U,Bari, PRYSMIAN CAVI E SISTEMI ITALIA S.R.L.,27,grande,over20y
156923,16.75433,41.09273,U,Bari, MTS S.P.A.,29,media,over20y
6366931,17.243478,40.787712,U,Bari, RENZINI S.P.A.,10,media,5y-10y
362637873,16.88393847,41.10998327,U,Bari, GE AVIO S.R.L.,30,grande,1y-2y
2956322,16.75158,40.79344,S,Bari, GRUPPO INDUSTRIALE DELTA SALOTTI S.R.L. IN SIGLA G.I.D.S. S.R.L.,31,media,10y-20y
92120,16.76015,41.10675,U,Bari, SOL S.P.A.,20,grande,over20y
2885442,16.68978775,40.93523301,S,Bari, GRUPPO TESSILE LOGAMA S.R.L.,14,media,10y-20y
999696,16.76015,41.10675,S,Bari, GETRAG S.P.A.,29,grande,10y-20y
5573328,16.86197724,41.11443632,S,Bari, I.M.P.E. INDUSTRIA MERIDIONALE PREFABBRICATI EDILI S.P.A.,23,media,over20y
41265,16.8746805,40.99008747,S,Bari, INDUSTRIE FRACCHIOLLA S.P.A.,25,media,10y-20y
9096219,16.86921503,41.12202104,U,Bari, MIROGLIO FASHION S.R.L.,14,grande,5y-10y
610626,16.95089,40.89132,U,Bari, BARBIERI S.R.L.,32,media,over20y
316193,17.2883339,40.89209516,U,Bari, CALCESTRUZZI S.P.A.,23,grande,over20y
453657,17.159458,40.89373,S,Bari, VETRERIE MERIDIONALI S.P.A.,23,media,over20y
868229,16.78934,41.10068,S,Bari, TECNOLOGIE DIESEL E SISTEMI FRENANTI S.P.A.,29,grande,10y-20y
630408,16.92376589,40.96037677,U,Bari, BOTTEGA VERDE - S.R.L.,20,grande,over20y
1069403,17.21489,40.99126,U,Bari, B.A.G. S.P.A.,15,grande,10y-20y
133802,16.75433,41.09273,U,Bari, GUBELA -S.P.A.,20,media,over20y
90895,16.81718039,41.09743927,U,Bari, ALL.CO SOCIETA PER AZIONI,24,grande,over20y
3771365,16.421696,41.275446,U,Bari, LUISA SPAGNOLI S.P.A.,14,grande,10y-20y
529377,16.86893936,41.1300492,U,Bari, UNICALCESTRUZZI S.P.A. SIGLABILE UNICAL S.P.A.,23,grande,over20y
239823,16.77476017,41.0969831,U,Bari, KONE S.P.A.,28,grande,over20y
147735,16.89057478,41.09643093,U,Bari, API ANONIMA PETROLI ITALIANA - SOCIETA PER AZIONI,19,grande,over20y
9096219,16.9394291,41.07205039,U,Bari, MIROGLIO FASHION S.R.L.,14,grande,5y-10y
10153,16.78695385,41.08619933,S,Bari, RADAELLI SUD S.R.L.,28,grande,over20y
568826,16.7794229,41.08881527,U,Bari, OM CARRELLI ELEVATORI S.P.A.,28,grande,over20y
1006795,16.84312705,40.80445649,S,Bari, MV LINE S.P.A.,25,media,10y-20y
1614071,16.53935212,40.82811886,U,Bari, DUE EFFE SALOTTI S.R.L.,31,media,over20y
12117,16.92594285,41.04068812,U,Bari, FRIGERIO TENDE DA SOLE S.R.L.,25,media,10y-20y
311899,16.78695385,41.08619933,U,Bari, GRUPPO TURI S.R.L.,31,media,over20y
368941,17.0999635,40.94595435,S,Bari, MASTER S.R.L.,25,media,over20y
1229535,16.80892248,41.09963299,U,Bari, OERLIKON GRAZIANO S.P.A.,28,grande,over20y
949768,16.5210655,40.73753305,S,Bari, OROPAN S.P.A.,10,media,over20y
630584,16.92376589,40.96037677,U,Bari,HARMONT & BLAINE JEANS HARMONT & BLAINE S.P.A.,14,grande,over20y
75611,16.87564811,41.11665236,U,Bari, RODENSTOCK ITALIA S.P.A.,26,media,over20y
71461,16.40724994,41.27925181,U,Bari, BAYER CROPSCIENCE S.R.L.,20,grande,over20y
554260,16.52614436,40.82767132,U,Bari, NATUZZI S.P.A.,31,grande,over20y
931036,16.5506,40.8385,S,Bari, MAX DIVANI SOCIETA PER AZIONI IN SIGLA MAX DIVANI S.P.A.,31,media,over20y
364776046,16.79305,41.10248,U,Bari, RIVOIRA PHARMA S.R.L.,20,media,1y-2y
1115397,16.91067579,40.78289825,U,Bari, FRO - AIR LIQUIDE WELDING ITALIA S.P.A.,27,grande,10y-20y
104173,16.92376589,40.96037677,U,Bari, TEDDY - S.P.A.,14,grande,over20y
82321,16.85162069,41.10719063,U,Bari, TOTALERG S.P.A.,19,grande,over20y
469077,16.91067579,40.78289825,U,Bari, S.I.V.A.M. SOCIETA ITALIANA VETERINARIA AGRICOLA MILANO S.P.A.,10,media,over20y
516677,16.41009115,41.14925923,U,Bari, TANDOI FILIPPO E ADALBERTO FRATELLI SOCIETA PER AZIONI IN FORMA ABBREVIATA TANDOI F. E A. F.LLI S.P.A. OVVERO TANDOI F.LLI SPA,10,media,over20y
550654,16.526244,40.826966,U,Bari, BARILLA G. E R. FRATELLI - SOCIETA PER AZIONI,10,grande,over20y
104173,16.91097434,41.10601905,U,Bari, TEDDY - S.P.A.,14,grande,over20y
265762,16.869691,41.12197098,U,Bari, FORNARI S.P.A.,14,media,over20y
147735,16.87499235,41.09181205,U,Bari, API ANONIMA PETROLI ITALIANA - SOCIETA PER AZIONI,19,grande,over20y
332486,17.10809,40.83185,U,Bari, ICAM S.R.L.,31,media,over20y
1301521,16.55970014,40.8189185,S,Bari, TECNOMEC ENGINEERING S.R.L.,25,grande,10y-20y
171669,16.75892,41.10929,U,Bari, ELBI S.P.A.,25,media,over20y
135712,16.87499235,41.09181205,U,Bari, CINEMECCANICA S.P.A.,26,media,over20y
7588432,17.25609,40.91917,U,Bari, ITALCEMENTI FABBRICHE RIUNITE CEMENTO S.P.A. BERGAMO,23,grande,over20y
12647,16.51736009,41.22733528,U,Bari, GOLDENGAS - SOCIETA PER AZIONI,19,media,over20y
253724,16.98951,41.03122706,U,Bari, F. DIVELLA S.P.A.,10,grande,over20y
3502969,16.78312634,41.07563608,S,Bari, IL JOLLY CONFEZIONI S.R.L.,14,media,over20y
6385223,16.87059125,41.11294922,U,Bari, DIVEL ITALIA S.P.A.,32,media,5y-10y
271998,16.87499235,41.09181205,U,Bari, RONZULLI S.P.A.,17,media,over20y
7588432,17.29898367,40.95460559,U,Bari, ITALCEMENTI FABBRICHE RIUNITE CEMENTO S.P.A. BERGAMO,23,grande,over20y
1080274,16.80892248,41.09963299,U,Bari, NUOVO PIGNONE - SOCIETA PER AZIONI O  IN FORMA ABBREVIATA  NUOVO PIGNONE S.P.A.,28,grande,10y-20y
